
--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
25,Kristjan Asllani,al ALB,MF,Empoli,19,2002,15.0,1,17,6,35.3,1.13,0.40,0.06,0.17,0,0,Matches,0fdcef0e
26,Emil Audero,id IDN,GK,Sampdoria,24,1997,28.4,0,0,0,,0.00,0.00,,,0,0,Matches,649b01d8
27,Tommaso Augello,it ITA,DF,Sampdoria,26,1994,26.6,1,7,2,28.6,0.26,0.08,0.14,0.50,0,0,Matches,3cd3b384
28,Ramzi Aya,it ITA,DF,Salernitana,30,1990,1.5,0,1,0,0.0,0.67,0.00,0.00,,0,0,Matches,6a1f66a7
29,Kaan Ayhan,tr TUR,DF,Sassuolo,26,1994,15.0,1,5,1,20.0,0.33,0.07,0.20,1.00,0,0,Matches,2200181e
30,Milan Badelj,hr CRO,MF,Genoa,32,1989,31.6,1,21,5,23.8,0.66,0.16,0.05,0.20,0,0,Matches,e8c930bb
31,Nicola Bagnolini,it ITA,GK,Bologna,17,2004,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,ad263695
32,Issa Bah,lu LUX,FW,Venezia,19,2002,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,956a78ea
33,Nedim Bajrami,al ALB,MF,Empoli,22,1999,22.8,6,53,21,39.6,2.32,0.92,0.11,0.29,3,3,Matches,f42d6c13
34,Tiemoué Bakayoko,fr FRA,MF,Milan,26,1994,5.6,0,4,0,0.0,0.72,0.00,0.00,,0,0,Matches,59bf127b
35,Tommaso Baldanzi,it ITA,MF,Empoli,18,2003,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,102e2599
36,Keita Baldé,sn SEN,FW,Cagliari,26,1995,13.7,3,27,11,40.7,1.98,0.81,0.11,0.27,0,0,Matches,509a4ccb
37,Fodé Ballo-Touré,sn SEN,DF,Milan,24,1997,5.0,0,2,1,50.0,0.40,0.20,0.00,0.00,0,0,Matches,f449640d
38,Filippo Bandinelli,it ITA,MF,Empoli,26,1995,21.7,2,35,12,34.3,1.61,0.55,0.06,0.17,0,0,Matches,d44360be
39,Mattia Bani,it ITA,DF,Genoa,27,1993,13.5,0,8,1,12.5,0.59,0.07,0.00,0.00,0,0,Matches,0821331c
40,Antonín Barák,cz CZE,MFFW,Hellas Verona,26,1994,26.0,11,51,24,47.1,1.96,0.92,0.22,0.46,4,4,Matches,01efac19
41,Francesco Bardi,it ITA,GK,Bologna,29,1992,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,0acda699
42,Nicolò Barella,it ITA,MF,Inter,24,1997,32.4,3,68,13,19.1,2.10,0.40,0.04,0.23,0,0,Matches,6928979a
43,Musa Barrow,gm GAM,MFFW,Bologna,22,1998,23.7,6,71,27,38.0,2.99,1.14,0.08,0.22,0,0,Matches,e5bf73f3
44,Daniele Baselli,it ITA,MF,Torino,29,1992,1.7,0,1,0,0.0,0.60,0.00,0.00,,0,0,Matches,ea06dd97
45,Daniele Baselli,it ITA,MF,Cagliari,29,1992,3.2,0,5,1,20.0,1.55,0.31,0.00,0.00,0,0,Matches,ea06dd97
46,Toma Bašić,hr CRO,MF,Lazio,24,1996,10.9,0,16,11,68.8,1.47,1.01,0.00,0.00,0,0,Matches,80556f08
47,Alessandro Bastoni,it ITA,DF,Inter,22,1999,25.7,1,8,2,25.0,0.31,0.08,0.13,0.50,0,0,Matches,75b86fb3
48,Simone Bastoni,it ITA,MFDF,Spezia,24,1996,25.4,3,28,6,21.4,1.10,0.24,0.11,0.50,0,0,Matches,1ac232b8
49,Rodrigo Becão,br BRA,DF,Udinese,25,1996,34.8,2,19,5,26.3,0.55,0.14,0.11,0.40,0,0,Matches,19e4eab9
50,Valon Behrami,ch SUI,MF,Genoa,36,1985,3.5,0,1,0,0.0,0.29,0.00,0.00,,0,0,Matches,d3d758d8
51,Vid Belec,si SVN,GK,Salernitana,31,1990,21.5,0,0,0,,0.00,0.00,,,0,0,Matches,4f8ce0e1
52,Raoul Bellanova,it ITA,MF,Cagliari,21,2000,27.7,1,23,5,21.7,0.83,0.18,0.04,0.20,0,0,Matches,e3756e72
53,Andrea Belotti,it ITA,FW,Torino,27,1993,15.2,8,58,20,34.5,3.81,1.31,0.14,0.40,3,3,Matches,d705ba44
54,Marco Benassi,it ITA,DF,Fiorentina,26,1994,1.8,0,3,0,0.0,1.71,0.00,0.00,,0,0,Matches,0000acda
55,Marco Benassi,it ITA,MF,Empoli,26,1994,4.2,0,7,3,42.9,1.65,0.71,0.00,0.00,0,0,Matches,0000acda
56,Filip Benković,hr CRO,DF,Udinese,24,1997,0.1,0,1,1,100.0,11.25,11.25,0.00,0.00,0,0,Matches,305a3820
57,Ismaël Bennacer,dz ALG,MF,Milan,23,1997,16.9,2,16,6,37.5,0.94,0.35,0.13,0.33,0,0,Matches,db092d3b
58,Rodrigo Bentancur,uy URU,MF,Juventus,24,1997,12.8,0,8,1,12.5,0.62,0.08,0.00,0.00,0,0,Matches,3b8674e6
59,Alessandro Berardi,it ITA,GK,Hellas Verona,30,1991,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,ec1f737d
60,Domenico Berardi,it ITA,MFFW,Sassuolo,26,1994,31.3,15,110,47,42.7,3.51,1.50,0.14,0.32,6,6,Matches,53a0e358
61,Bartosz Bereszyński,pl POL,DF,Sampdoria,29,1992,32.7,0,6,0,0.0,0.18,0.00,0.00,,0,0,Matches,61b3978f
62,Etrit Berisha,al ALB,GK,Torino,32,1989,10.0,0,0,0,,0.00,0.00,,,0,0,Matches,ee833569
63,Federico Bernardeschi,it ITA,MFFW,Juventus,27,1994,16.4,1,33,7,21.2,2.01,0.43,0.03,0.14,0,0,Matches,ee93c1a9
64,Nicolò Bertola,it ITA,DF,Spezia,18,2003,0.4,0,1,1,100.0,2.57,2.57,0.00,0.00,0,0,Matches,04b40c58
65,Daniel Bessa,it ITA,MF,Hellas Verona,28,1993,8.5,1,10,2,20.0,1.17,0.23,0.10,0.50,0,0,Matches,88895312
