--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
97,Julian Chabot,de GER,DF,Spezia,22,1998,18.4,1,9,3,33.3,0.49,0.16,0.11,0.33,0,0,Matches,ae7058f9
98,Giorgio Chiellini,it ITA,DF,Juventus,35,1984,15.4,0,6,0,0.0,0.39,0.00,0.00,,0,0,Matches,e85fb9b8
99,Federico Chiesa,it ITA,MF,Juventus,22,1997,24.6,8,60,25,41.7,2.44,1.02,0.13,0.32,0,0,Matches,b0f7e36c
100,Federico Chiesa,it ITA,MF,Fiorentina,22,1997,2.7,1,10,1,10.0,3.75,0.37,0.10,1.00,0,0,Matches,b0f7e36c
101,Vlad Chiricheș,ro ROU,DF,Sassuolo,30,1989,20.4,2,12,3,25.0,0.59,0.15,0.17,0.67,0,0,Matches,c316607a
102,Luca Cigarini,it ITA,MF,Crotone,34,1986,10.3,0,16,3,18.8,1.55,0.29,0.00,0.00,0,0,Matches,ae64d449
103,Antonio Cioffi,it ITA,FW,Napoli,17,2002,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,3f1107d5
104,Ebrima Colley,gm GAM,MFFW,Hellas Verona,20,2000,8.2,1,17,7,41.2,2.08,0.86,0.06,0.14,0,0,Matches,bf356094
105,Omar Colley,gm GAM,DF,Sampdoria,27,1992,28.8,2,12,3,25.0,0.42,0.10,0.17,0.67,0,0,Matches,8b95acda
106,Simone Colombi,it ITA,GK,Parma,29,1991,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,72be9309
107,Lorenzo Colombo,it ITA,FW,Milan,18,2002,1.0,0,4,1,25.0,3.83,0.96,0.00,0.00,0,0,Matches,04df29a5
108,Andrea Consigli,it ITA,GK,Sassuolo,33,1987,37.0,0,0,0,,0.00,0.00,,,0,0,Matches,8cabdc1e
109,Andrea Conti,it ITA,DFMF,Milan,26,1994,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,8fef5412
110,Andrea Conti,it ITA,DFMF,Parma,26,1994,9.0,0,5,2,40.0,0.56,0.22,0.00,0.00,0,0,Matches,8fef5412
111,Alex Cordaz,it ITA,GK,Crotone,37,1983,36.0,0,0,0,,0.00,0.00,,,0,0,Matches,e66ebabb
112,Andreas Cornelius,dk DEN,FW,Parma,27,1993,21.1,1,30,7,23.3,1.42,0.33,0.03,0.14,0,0,Matches,c693347d
113,Joaquín Correa,ar ARG,FW,Lazio,25,1994,21.5,8,54,23,42.6,2.51,1.07,0.15,0.35,1,1,Matches,45b9b619
114,Félix Correia,pt POR,FWMF,Juventus,19,2001,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,c803c92a
