--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
171,Berat Djimsiti,al ALB,DF,Atalanta,27,1993,29.2,8,0,0,31,26,1,10,66,31,,,0,Matches,6eee05f1
172,Nicolás Domínguez,ar ARG,MF,Bologna,22,1998,13.9,8,0,0,23,15,1,12,25,27,,,0,Matches,20b3a502
173,Gianluigi Donnarumma,it ITA,GK,Milan,21,1999,37.0,1,0,0,1,4,0,0,1,0,,,0,Matches,08f5afaa
174,Bartłomiej Drągowski,pl POL,GK,Fiorentina,22,1997,35.0,0,1,0,1,5,0,0,1,2,,,0,Matches,085e71a7
175,Denis Drăguș,ro ROU,FW,Crotone,21,1999,2.0,1,0,0,4,4,2,2,1,2,,,0,Matches,0e490f6e
176,Radu Drăgușin,ro ROU,DF,Juventus,18,2002,0.0,0,0,0,2,1,0,0,0,0,,,0,Matches,620922ed
177,Léo Duarte,br BRA,DF,Milan,24,1996,0.2,0,0,0,0,0,0,0,1,1,,,0,Matches,73ddc40c
178,Alfred Duncan,gh GHA,MF,Cagliari,27,1993,11.9,2,0,0,16,12,0,13,16,11,,,0,Matches,528492ea
179,Alfred Duncan,gh GHA,MF,Fiorentina,27,1993,1.8,0,0,0,2,2,0,1,2,0,,,0,Matches,528492ea
180,Paulo Dybala,ar ARG,FW,Juventus,26,1993,12.6,0,0,0,10,30,4,69,1,8,,,0,Matches,e0921a4f
181,Edin Džeko,ba BIH,FW,Roma,34,1986,20.3,2,0,0,26,37,10,16,3,6,,,0,Matches,3bb7f478
182,Steeve-Mike Ebongue,fr FRA,MF,Genoa,19,2001,0.6,0,0,0,0,0,0,0,0,1,,,0,Matches,9d5ab351
183,Simone Edera,it ITA,MF,Torino,23,1997,0.6,0,0,0,1,1,0,5,1,1,,,0,Matches,8697c095
184,Albin Ekdal,se SWE,MF,Sampdoria,31,1989,25.5,9,0,0,49,57,0,3,51,30,,,0,Matches,f503ea63
185,Elif Elmas,mk MKD,MF,Napoli,20,1999,8.2,3,0,0,10,8,1,6,2,3,,,0,Matches,cf007308
186,Alan Empereur,br BRA,DF,Hellas Verona,26,1994,2.4,1,0,0,3,1,0,0,7,0,,,0,Matches,825b8997
187,Christian Eriksen,dk DEN,MF,Inter,28,1992,15.4,1,0,0,13,4,1,104,11,5,,,0,Matches,980522ec
188,Martin Erlić,hr CRO,DF,Spezia,22,1998,20.0,6,0,0,37,13,0,2,39,16,,,0,Matches,0fee6bda
189,Gonzalo Escalante,ar ARG,MF,Lazio,27,1993,8.1,5,0,0,14,9,0,4,21,13,,,0,Matches,3f79a1c8
190,Nahuel Estévez,ar ARG,MF,Spezia,24,1995,19.6,7,0,0,33,22,0,92,19,7,,,0,Matches,cec60a2f
191,Valentin Eysseric,fr FRA,MF,Fiorentina,28,1992,8.1,2,0,0,12,11,0,33,8,9,,,0,Matches,ae82fa48
192,Nicolò Fagioli,it ITA,MF,Juventus,19,2001,0.2,0,0,0,1,2,0,1,0,0,,,0,Matches,366be751
193,Iago Falque,es ESP,MF,Benevento,30,1990,4.0,0,0,0,0,3,0,31,0,3,,,0,Matches,440c84ed
194,Andri Fannar Baldursson,is ISL,MF,Bologna,18,2002,2.4,2,0,0,9,3,1,0,3,5,,,0,Matches,61f2f56a
195,Paolo Faragò,it ITA,DFMF,Bologna,27,1993,0.3,0,0,0,0,0,0,0,0,1,,,0,Matches,9085dd7c
196,Paolo Faragò,it ITA,DF,Cagliari,27,1993,4.1,2,0,0,7,2,0,11,7,10,,,0,Matches,9085dd7c
197,Davide Faraoni,it ITA,MF,Hellas Verona,28,1991,32.1,8,0,0,47,38,10,65,55,37,,,0,Matches,aae9d04a
198,Mohamed Fares,dz ALG,MF,Lazio,24,1996,12.7,5,0,0,28,8,2,60,19,14,,,0,Matches,b7a5bc86
199,Diego Farias,br BRA,FW,Spezia,30,1990,16.8,5,0,0,18,16,2,22,13,6,,,0,Matches,157d29b6
200,Andrea Favilli,it ITA,FW,Hellas Verona,23,1997,3.8,1,0,0,14,8,9,0,0,1,,,0,Matches,44510fde
