--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
623,Davide Santon,it ITA,DF,Roma,28,1991,15,619,41,18.1,6.9,7,66,2,8,19,10,1.87,12,12,0,0.00,-0.84,Matches,88c89891
624,Samir Santos,br BRA,DFMF,Udinese,24,1994,21,1546,74,45.2,17.2,16,89,15,5,24,8,1.29,14,30,-16,-0.93,-1.03,Matches,92b4758e
625,Riccardo Saponara,it ITA,MF,Genoa,27,1991,4,168,42,4.9,1.9,2,62,0,2,22,4,0.20,3,3,0,0.00,+0.72,Matches,3bb7af3b
626,Riccardo Saponara,it ITA,MFFW,Lecce,27,1991,13,947,73,27.7,10.5,11,81,6,2,27,3,1.23,21,25,-4,-0.38,+0.68,Matches,3bb7af3b
627,Mouhamadou Sarr,sn SEN,GK,Bologna,22,1997,0,,,,,0,,0,0,,32,,,,,,,Matches,b959a0d1
628,Razvan Sava,ro ROU,GK,Lecce,17,2002,0,,,,,0,,0,0,,11,,,,,,,Matches,41efbd34
629,Patrik Schick,cz CZE,FW,Roma,23,1996,0,,,,,0,,0,0,,2,,,,,,,Matches,5d4f7d61
630,Lasse Schöne,dk DEN,MF,Genoa,33,1986,32,2427,76,71.0,27.0,29,81,19,3,31,4,0.88,34,46,-12,-0.44,+0.82,Matches,c3a8bcd8
631,Jerdy Schouten,nl NED,MF,Bologna,22,1997,19,1082,57,31.6,12.0,13,74,6,6,21,12,1.32,19,24,-5,-0.42,-0.11,Matches,2cfae697
632,Matteo Scozzarella,it ITA,MF,Parma,31,1988,16,920,58,26.9,10.2,12,70,3,4,19,8,1.63,18,12,+6,+0.59,+0.84,Matches,ea164f99
633,Andrea Seculin,it ITA,GK,Sampdoria,29,1990,0,,,,,0,,0,0,,22,,,,,,,Matches,c4f573f4
634,Ken Sema,se SWE,MF,Udinese,25,1993,32,2453,77,71.7,27.3,30,81,15,2,6,1,1.19,22,33,-11,-0.40,-0.12,Matches,1770bd68
635,Alessandro Semprini,it ITA,DF,Brescia,21,1998,12,629,52,18.4,7.0,6,84,3,6,21,11,0.75,10,20,-10,-1.43,-0.33,Matches,dd29f81d
636,Stefano Sensi,it ITA,MF,Inter,23,1995,12,723,60,21.1,8.0,9,72,2,3,24,3,2.25,14,5,+9,+1.12,-0.08,Matches,b70bde8f
637,Luigi Sepe,it ITA,GK,Parma,28,1991,34,3060,90,89.5,34.0,34,90,34,0,,0,1.32,53,53,0,0.00,+0.25,Matches,343f753a
638,Yevhen Shakhov,ua UKR,MFFW,Lecce,28,1990,24,1085,45,31.7,12.1,9,71,3,15,30,12,1.04,17,26,-9,-0.75,+0.18,Matches,ff764de3
639,Francisco Sierralta,cl CHI,DF,Udinese,22,1997,0,,,,,0,,0,0,,18,,,,,,,Matches,0f933743
640,Luca Siligardi,it ITA,MFFW,Parma,31,1988,12,337,28,9.9,3.7,3,63,0,9,17,7,1.08,6,6,0,0.00,+0.03,Matches,1cac99dc
641,André Silva,pt POR,FW,Milan,23,1995,1,60,60,1.8,0.7,1,60,0,0,,1,3.00,1,0,+1,+1.50,+1.07,Matches,3effaa34
642,Jorge Silva,pt POR,DF,Lazio,20,1999,0,,,,,0,,0,0,,11,,,,,,,Matches,468a2422
643,Marco Silvestri,it ITA,GK,Hellas Verona,28,1991,35,3150,90,92.1,35.0,35,90,35,0,,3,1.31,43,43,0,0.00,+1.33,Matches,0d422df7
644,Giovanni Simeone,ar ARG,FW,Fiorentina,24,1995,0,,,,,0,,0,0,,1,,,,,,,Matches,343c0d52
645,Giovanni Simeone,ar ARG,FW,Cagliari,24,1995,37,2924,79,85.5,32.5,34,83,18,3,38,0,1.22,44,41,+3,+0.09,+1.36,Matches,343c0d52
646,Wilfried Singo,ci CIV,MF,Torino,18,2000,4,132,33,3.9,1.5,1,87,0,3,15,15,0.75,2,3,-1,-0.68,-0.11,Matches,8b609c34
647,Salvatore Sirigu,it ITA,GK,Torino,32,1987,36,3240,90,94.7,36.0,36,90,36,0,,2,1.08,43,64,-21,-0.58,-0.08,Matches,10dc46f0
648,Łukasz Skorupski,pl POL,GK,Bologna,28,1991,37,3330,90,97.4,37.0,37,90,37,0,,0,1.24,51,64,-13,-0.35,-0.35,Matches,ab4449d6
649,Andreas Skov Olsen,dk DEN,MF,Bologna,19,1999,26,760,29,22.2,8.4,7,61,0,19,18,8,1.12,11,14,-3,-0.36,-0.02,Matches,c50cee19
