--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
158,Merih Demiral,tr TUR,DF,Juventus,21,1998,6,5,418,4.6,1,1,2,1,0,0,1,0,0.22,0.22,0.43,0.22,0.43,Matches,e3cceee6
159,Diego Demme,de GER,MF,Napoli,27,1991,15,10,902,10.0,1,0,1,1,0,0,6,0,0.10,0.00,0.10,0.10,0.10,Matches,dc3fa3b5
160,Stefano Denswil,sr SUR,DF,Bologna,26,1993,26,25,2240,24.9,0,1,1,0,0,0,7,1,0.00,0.04,0.04,0.00,0.04,Matches,5832ebfe
161,Fabio Depaoli,it ITA,MFDF,Sampdoria,22,1997,29,21,1854,20.6,0,1,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,Matches,d97f2e8d
162,Kastriot Dermaku,al ALB,DF,Parma,27,1992,16,10,1026,11.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2990c466
163,Daniele Dessena,it ITA,MF,Brescia,32,1987,24,22,1869,20.8,2,0,2,2,0,0,7,1,0.10,0.00,0.10,0.10,0.10,Matches,02b2937c
164,Mattia Destro,it ITA,FW,Bologna,28,1991,5,2,185,2.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d7d32194
165,Mattia Destro,it ITA,FW,Genoa,28,1991,8,1,150,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d7d32194
166,Samuel Di Carmine,it ITA,FWMF,Hellas Verona,30,1988,22,17,1293,14.4,8,0,8,7,1,2,3,0,0.56,0.00,0.56,0.49,0.49,Matches,ef94dc2f
167,Federico Di Francesco,it ITA,FW,SPAL,25,1994,20,13,1082,12.0,2,0,2,2,0,0,4,0,0.17,0.00,0.17,0.17,0.17,Matches,1fca9171
168,Giovanni Di Lorenzo,it ITA,DF,Napoli,25,1993,33,33,2970,33.0,3,3,6,3,0,0,5,0,0.09,0.09,0.18,0.09,0.18,Matches,230a2fac
169,Amad Diallo,ci CIV,FWMF,Atalanta,17,2002,3,0,27,0.3,1,0,1,1,0,0,0,0,3.33,0.00,3.33,3.33,3.33,Matches,9dc96f10
170,Amadou Diawara,gn GUI,MF,Roma,22,1997,22,19,1518,16.9,1,1,2,0,1,1,4,0,0.06,0.06,0.12,0.00,0.06,Matches,bf309d24
171,Mitchell Dijks,nl NED,DF,Bologna,26,1993,13,12,1006,11.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,0a3065c8
172,Federico Dimarco,it ITA,MFDF,Hellas Verona,21,1997,13,5,521,5.8,0,3,3,0,0,0,1,0,0.00,0.52,0.52,0.00,0.52,Matches,970b8574
173,Federico Dimarco,it ITA,DFMF,Inter,21,1997,3,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,970b8574
174,Koffi Djidji,ci CIV,DF,Torino,26,1992,17,9,851,9.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,933d3b51
175,Berat Djimsiti,al ALB,DF,Atalanta,26,1993,34,32,2783,30.9,2,1,3,2,0,0,5,0,0.06,0.03,0.10,0.06,0.10,Matches,6eee05f1
176,Nicolás Domínguez,ar ARG,MF,Bologna,21,1998,16,7,699,7.8,0,1,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches,20b3a502
177,Giulio Donati,it ITA,DF,Lecce,29,1990,20,20,1760,19.6,1,0,1,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,Matches,22051fbe
178,Alfredo Donnarumma,it ITA,FW,Brescia,28,1990,31,20,1684,18.7,7,2,9,5,2,2,1,0,0.37,0.11,0.48,0.27,0.37,Matches,5592007b
179,Gianluigi Donnarumma,it ITA,GK,Milan,20,1999,36,36,3201,35.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,08f5afaa
180,Bartłomiej Drągowski,pl POL,GK,Fiorentina,21,1997,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,085e71a7
181,Léo Duarte,br BRA,DF,Milan,23,1996,6,4,405,4.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,73ddc40c
182,Edgaras Dubickas,lt LTU,MF,Lecce,21,1998,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c59f90b0
183,Alfred Duncan,gh GHA,MF,Sassuolo,26,1993,13,10,843,9.4,1,5,6,1,0,0,3,0,0.11,0.53,0.64,0.11,0.64,Matches,528492ea
184,Alfred Duncan,gh GHA,MF,Fiorentina,26,1993,13,10,887,9.9,1,1,2,1,0,0,2,0,0.10,0.10,0.20,0.10,0.20,Matches,528492ea
185,Paulo Dybala,ar ARG,FWMF,Juventus,25,1993,33,25,2155,23.9,11,6,17,10,1,1,5,0,0.46,0.25,0.71,0.42,0.67,Matches,e0921a4f
186,Edin Džeko,ba BIH,FW,Roma,33,1986,35,31,2854,31.7,16,7,23,16,0,0,4,0,0.50,0.22,0.73,0.50,0.73,Matches,3bb7f478
187,Blerim Džemaili,ch SUI,MF,Bologna,33,1986,14,8,698,7.8,1,1,2,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,Matches,756959aa
188,Simone Edera,it ITA,MFFW,Torino,22,1997,13,4,398,4.4,1,1,2,1,0,0,4,1,0.23,0.23,0.45,0.23,0.45,Matches,8697c095
189,Albin Ekdal,se SWE,MF,Sampdoria,30,1989,32,27,2385,26.5,0,2,2,0,0,0,8,0,0.00,0.08,0.08,0.00,0.08,Matches,f503ea63
190,Elif Elmas,mk MKD,MF,Napoli,19,1999,26,12,1134,12.6,1,1,2,1,0,0,7,0,0.08,0.08,0.16,0.08,0.16,Matches,cf007308
191,Alan Empereur,br BRA,DF,Hellas Verona,25,1994,13,8,855,9.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,825b8997
192,Christian Eriksen,dk DEN,MF,Inter,27,1992,17,8,703,7.8,1,2,3,1,0,0,0,0,0.13,0.26,0.38,0.13,0.38,Matches,980522ec
193,Sebastiano Esposito,it ITA,FW,Inter,17,2002,7,2,199,2.2,1,0,1,0,1,1,2,0,0.45,0.00,0.45,0.00,0.00,Matches,7ff93107
194,Valentin Eysseric,fr FRA,MFFW,Hellas Verona,27,1992,6,3,353,3.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,ae82fa48
195,Valentin Eysseric,fr FRA,FWMF,Fiorentina,27,1992,3,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ae82fa48
196,Luca Falbo,it ITA,DF,Lazio,19,2000,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ca8fa0c0
197,Filippo Falco,it ITA,FWMF,Lecce,27,1992,30,24,2014,22.4,4,6,10,4,0,0,0,0,0.18,0.27,0.45,0.18,0.45,Matches,e23f56c1
198,Wladimiro Falcone,it ITA,GK,Sampdoria,24,1995,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9f5a610b
199,Iago Falque,es ESP,FW,Torino,29,1990,4,1,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,440c84ed
200,Iago Falque,es ESP,MFFW,Genoa,29,1990,10,6,519,5.8,2,1,3,0,2,3,0,0,0.35,0.17,0.52,0.00,0.17,Matches,440c84ed
201,Andri Fannar Baldursson,is ISL,MF,Bologna,17,2002,7,0,143,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,61f2f56a
202,Paolo Faragò,it ITA,DFMF,Cagliari,26,1993,21,14,1343,14.9,1,1,2,1,0,0,3,0,0.07,0.07,0.13,0.07,0.13,Matches,9085dd7c
203,Davide Faraoni,it ITA,MF,Hellas Verona,27,1991,36,36,3228,35.9,5,3,8,5,0,0,6,0,0.14,0.08,0.22,0.14,0.22,Matches,aae9d04a
204,Mohamed Fares,dz ALG,MFDF,SPAL,23,1996,8,5,421,4.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b7a5bc86
205,Diego Farias,br BRA,FWMF,Lecce,29,1990,18,7,824,9.2,2,0,2,2,0,0,3,1,0.22,0.00,0.22,0.22,0.22,Matches,157d29b6
206,Andrea Favilli,it ITA,FW,Genoa,22,1997,20,7,658,7.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,44510fde
207,Federico Fazio,ar ARG,DF,Roma,32,1987,16,14,1213,13.5,1,0,1,1,0,0,2,1,0.07,0.00,0.07,0.07,0.07,Matches,4e358a2d
208,Luiz Felipe,it ITA,DF,Lazio,22,1997,26,24,2024,22.5,1,1,2,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,Matches,15d0c248
209,Lucas Felippe,br BRA,MF,Hellas Verona,19,2000,2,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,85e51909
210,Alex Ferrari,it ITA,DF,Sampdoria,25,1994,12,11,1005,11.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,d0dbca9f
211,Sergio Floccari,it ITA,FW,SPAL,37,1981,24,9,942,10.5,1,0,1,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches,df301450
212,Alessandro Florenzi,it ITA,DFMF,Roma,28,1991,14,12,997,11.1,0,1,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,Matches,e288d4b3
213,Seko Fofana,ci CIV,MF,Udinese,24,1995,32,24,2249,25.0,3,7,10,3,0,0,4,0,0.12,0.28,0.40,0.12,0.40,Matches,5313ed43
214,Gianluca Frabotta,it ITA,DF,Juventus,20,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d80b1835
215,Remo Freuler,ch SUI,MF,Atalanta,27,1992,31,28,2337,26.0,2,2,4,2,0,0,3,0,0.08,0.08,0.15,0.08,0.15,Matches,98d2c2c4
216,Daniel Fuzato,br BRA,GK,Roma,22,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,82328faf
217,Matteo Gabbia,it ITA,DF,Milan,19,1999,9,6,680,7.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c235e803
218,Manolo Gabbiadini,it ITA,FW,Sampdoria,27,1991,33,24,2035,22.6,11,1,12,10,1,1,2,0,0.49,0.04,0.53,0.44,0.49,Matches,8f866fe8
219,Gabriel,br BRA,GK,Lecce,26,1992,34,34,2997,33.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,f93ed0df
220,Luca Gagliano,it ITA,FW,Cagliari,19,2000,2,1,52,0.6,1,1,2,1,0,0,0,0,1.73,1.73,3.46,1.73,3.46,Matches,1d00a56c
221,Roberto Gagliardini,it ITA,MF,Inter,25,1994,24,21,1797,20.0,4,2,6,4,0,0,5,0,0.20,0.10,0.30,0.20,0.30,Matches,ce30bfc8
222,Riccardo Gagliolo,se SWE,DF,Parma,29,1990,32,31,2604,28.9,3,2,5,3,0,0,7,0,0.10,0.07,0.17,0.10,0.17,Matches,173061c0
223,Daniele Gastaldello,it ITA,DF,Brescia,36,1983,8,4,389,4.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,13f89eaa
224,Gervinho,ci CIV,FW,Parma,32,1987,31,27,2270,25.2,7,4,11,7,0,1,3,0,0.28,0.16,0.44,0.28,0.44,Matches,e468c053
225,Rachid Ghezzal,dz ALG,MFFW,Fiorentina,27,1992,19,9,828,9.2,1,0,1,1,0,0,5,0,0.11,0.00,0.11,0.11,0.11,Matches,dc3a9a0d
226,Andrea Ghezzi,it ITA,FW,Brescia,18,2001,5,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c840baa2
227,Paolo Ghiglione,it ITA,MFDF,Genoa,22,1997,25,20,1717,19.1,0,5,5,0,0,0,4,0,0.00,0.26,0.26,0.00,0.26,Matches,71dc23da
228,Andrea Ghion,it ITA,MF,Sassuolo,19,2000,3,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7f24b3eb
229,Faouzi Ghoulam,dz ALG,DF,Napoli,28,1991,9,3,376,4.2,0,1,1,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,Matches,c5adc293
230,Diego Godín,uy URU,DF,Inter,33,1986,23,18,1628,18.1,1,1,2,1,0,0,5,0,0.06,0.06,0.11,0.06,0.11,Matches,fc4f85b1
231,Edoardo Goldaniga,it ITA,DF,Genoa,25,1993,13,8,784,8.7,1,0,1,1,0,0,4,0,0.11,0.00,0.11,0.11,0.11,Matches,4b029b31
232,Pierluigi Gollini,it ITA,GK,Atalanta,24,1995,33,33,2884,32.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,f0f7f62f
233,Papu Gómez,ar ARG,MFFW,Atalanta,31,1988,36,34,2842,31.6,7,16,23,7,0,0,2,0,0.22,0.51,0.73,0.22,0.73,Matches,6e4df551
234,Robin Gosens,de GER,MF,Atalanta,25,1994,34,31,2617,29.1,9,7,16,9,0,0,3,0,0.31,0.24,0.55,0.31,0.55,Matches,2d970560
235,Alberto Grassi,it ITA,MF,Parma,24,1995,16,6,641,7.1,1,1,2,1,0,0,6,0,0.14,0.14,0.28,0.14,0.28,Matches,6cc97b6a
236,Sinan Gümüş,de GER,FW,Genoa,25,1994,3,1,96,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ac1f056e
237,Koray Günter,de GER,DF,Hellas Verona,24,1994,32,31,2733,30.4,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,f1f1f238
238,Samir Handanović,si SVN,GK,Inter,35,1984,35,35,3150,35.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,74419746
239,Lukáš Haraslín,sk SVK,MFFW,Sassuolo,23,1996,11,4,384,4.3,1,0,1,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches,5c397195
240,Hans Hateboer,nl NED,MF,Atalanta,25,1994,32,25,2356,26.2,0,4,4,0,0,0,10,0,0.00,0.15,0.15,0.00,0.15,Matches,3b333ac3
241,Liam Henderson,sct SCO,MF,Hellas Verona,23,1996,4,2,196,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d7918b13
242,Dalbert Henrique,br BRA,MFDF,Fiorentina,25,1993,31,29,2484,27.6,0,5,5,0,0,0,8,1,0.00,0.18,0.18,0.00,0.18,Matches,f45f9427
243,Theo Hernández,fr FRA,DF,Milan,21,1997,33,32,2817,31.3,6,3,9,6,0,0,10,0,0.19,0.10,0.29,0.19,0.29,Matches,d4c9725f
244,Hernani,br BRA,MF,Parma,25,1994,32,27,2419,26.9,0,4,4,0,0,0,10,0,0.00,0.15,0.15,0.00,0.15,Matches,6f5ead86
245,Gonzalo Higuaín,ar ARG,FW,Juventus,31,1987,32,20,1866,20.7,8,4,12,8,0,0,2,0,0.39,0.19,0.58,0.39,0.58,Matches,8a08491a
246,Krisztofer Horváth,hu HUN,MF,SPAL,17,2002,3,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4ce8f4a3
247,Elseid Hysaj,al ALB,DF,Napoli,25,1994,20,17,1481,16.5,1,2,3,1,0,0,3,0,0.06,0.12,0.18,0.06,0.18,Matches,2f3452eb
248,Simone Iacoponi,it ITA,DF,Parma,32,1987,36,34,3053,33.9,2,0,2,2,0,0,7,0,0.06,0.00,0.06,0.06,0.06,Matches,63071a3f
249,Roger Ibanez,br BRA,DF,Roma,20,1998,9,7,614,6.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,82efe6fa
250,Zlatan Ibrahimović,se SWE,FW,Milan,37,1981,18,16,1362,15.1,10,5,15,8,2,3,1,0,0.66,0.33,0.99,0.53,0.86,Matches,4cde5509
251,Igor,br BRA,DFMF,SPAL,21,1998,17,15,1337,14.9,0,1,1,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,Matches,a4e85758
252,Igor,br BRA,DFMF,Fiorentina,21,1998,9,6,611,6.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,a4e85758
253,Josip Iličić,si SVN,FWMF,Atalanta,31,1988,26,21,1663,18.5,15,5,20,15,0,0,1,1,0.81,0.27,1.08,0.81,1.08,Matches,68252d6d
254,Giannelli Imbula,cd COD,MF,Lecce,26,1992,3,1,130,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b86fe156
255,Ciro Immobile,it ITA,FW,Lazio,29,1990,37,36,3170,35.2,36,9,45,22,14,15,8,0,1.02,0.26,1.28,0.62,0.88,Matches,4431aed2
256,Roberto Inglese,it ITA,FW,Parma,27,1991,17,8,766,8.5,4,0,4,4,0,1,1,0,0.47,0.00,0.47,0.47,0.47,Matches,6c1f7328
257,Lorenzo Insigne,it ITA,FWMF,Napoli,28,1991,37,34,2810,31.2,8,6,14,3,5,5,1,0,0.26,0.19,0.45,0.10,0.29,Matches,2f557579
258,Artur Ioniță,md MDA,MF,Cagliari,28,1990,34,21,1897,21.1,0,2,2,0,0,0,6,0,0.00,0.09,0.09,0.00,0.09,Matches,cedb3e36
259,Jakub Iskra,pl POL,MF,SPAL,16,2002,2,0,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,103b7264
260,Armando Izzo,it ITA,DF,Torino,27,1992,31,30,2686,29.8,1,0,1,1,0,0,7,2,0.03,0.00,0.03,0.03,0.03,Matches,89976232
261,Filip Jagiełło,pl POL,MF,Genoa,21,1997,11,6,553,6.1,0,2,2,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches,4cdcbc14
262,Mato Jajalo,ba BIH,MF,Udinese,31,1988,26,19,1649,18.3,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches,8c65eb5f
263,Marko Janković,me MNE,MF,SPAL,24,1995,6,1,115,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9866afec
264,Jakub Jankto,cz CZE,MF,Sampdoria,23,1996,30,25,2095,23.3,2,4,6,2,0,0,8,0,0.09,0.17,0.26,0.09,0.26,Matches,1ea5f91c
265,Juan Jesus,br BRA,DF,Roma,28,1991,4,1,139,1.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,79083382
266,Jony,es ESP,MF,Lazio,28,1991,24,14,1177,13.1,0,1,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches,244f57b9
267,Jesse Joronen,fi FIN,GK,Brescia,26,1993,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7f66ea09
268,Hamed Junior Traorè,ci CIV,MF,Sassuolo,19,2000,31,20,1570,17.4,4,1,5,4,0,0,3,0,0.23,0.06,0.29,0.23,0.29,Matches,570bb4b9
269,Musa Juwara,gm GAM,MF,Bologna,17,2001,7,1,153,1.7,1,0,1,1,0,0,1,0,0.59,0.00,0.59,0.59,0.59,Matches,7737dee2
270,Nikola Kalinić,hr CRO,FW,Roma,31,1988,15,6,571,6.3,5,1,6,5,0,0,1,0,0.79,0.16,0.95,0.79,0.95,Matches,d4931a5a
271,Yann Karamoh,fr FRA,FWMF,Parma,21,1998,14,5,573,6.4,1,1,2,1,0,0,0,0,0.16,0.16,0.31,0.16,0.31,Matches,8b66d9cc
272,Franck Kessié,ci CIV,MF,Milan,22,1996,35,33,2904,32.3,4,1,5,2,2,2,3,0,0.12,0.03,0.15,0.06,0.09,Matches,05e19d6a
273,Sami Khedira,de GER,MF,Juventus,32,1987,12,9,681,7.6,0,1,1,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,Matches,38ac43d3
274,Simon Kjær,dk DEN,DF,Milan,30,1989,15,15,1240,13.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8b8a56ce
275,Simon Kjær,dk DEN,DF,Atalanta,30,1989,5,3,292,3.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8b8a56ce
276,Ragnar Klavan,ee EST,DF,Cagliari,33,1985,31,26,2354,26.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,008a6e6d
277,Justin Kluivert,nl NED,MF,Roma,20,1999,22,19,1514,16.8,4,1,5,4,0,0,6,1,0.24,0.06,0.30,0.24,0.30,Matches,4c3a6744
278,Aleksandar Kolarov,rs SRB,DF,Roma,33,1985,32,30,2732,30.4,7,3,10,5,2,4,6,0,0.23,0.10,0.33,0.16,0.26,Matches,eda40760
279,Christian Kouamé,ci CIV,FW,Fiorentina,21,1997,7,3,301,3.3,1,1,2,1,0,0,0,0,0.30,0.30,0.60,0.30,0.60,Matches,58e933d2
280,Christian Kouamé,ci CIV,FWMF,Genoa,21,1997,11,10,915,10.2,5,2,7,5,0,0,1,0,0.49,0.20,0.69,0.49,0.69,Matches,58e933d2
281,Kalidou Koulibaly,sn SEN,DF,Napoli,28,1991,25,24,2105,23.4,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,da974c7b
282,Ladislav Krejčí,cz CZE,DF,Bologna,27,1992,14,11,1051,11.7,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,58027adc
283,Rade Krunić,ba BIH,MF,Milan,25,1993,15,4,537,6.0,0,1,1,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,Matches,817c6964
284,Juraj Kucka,sk SVK,MFFW,Parma,32,1987,26,22,1932,21.5,6,3,9,4,2,2,5,1,0.28,0.14,0.42,0.19,0.33,Matches,5aaef9ef
285,Dejan Kulusevski,se SWE,FWMF,Parma,19,2000,36,33,2930,32.6,10,8,18,9,1,1,3,0,0.31,0.25,0.55,0.28,0.52,Matches,df3cda47
286,Marash Kumbulla,al ALB,DF,Hellas Verona,19,2000,25,25,1950,21.7,1,0,1,1,0,0,7,1,0.05,0.00,0.05,0.05,0.05,Matches,a40819d9
287,Jasmin Kurtić,si SVN,MF,SPAL,30,1989,16,16,1409,15.7,2,0,2,2,0,0,5,0,0.13,0.00,0.13,0.13,0.13,Matches,144607cc
288,Jasmin Kurtić,si SVN,MFFW,Parma,30,1989,20,18,1664,18.5,2,1,3,2,0,0,5,0,0.11,0.05,0.16,0.11,0.16,Matches,144607cc
289,Giorgos Kyriakopoulos,gr GRE,DF,Sassuolo,23,1996,26,17,1643,18.3,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches,0a483542
290,Antonino La Gumina,it ITA,FW,Sampdoria,23,1996,5,2,186,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,822a7761
291,Andrea La Mantia,it ITA,FWMF,Lecce,28,1991,12,6,553,6.1,2,0,2,2,0,0,1,0,0.33,0.00,0.33,0.33,0.33,Matches,c375dfa5
292,Riccardo Ladinetti,it ITA,MF,Cagliari,18,2000,3,1,127,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ff4296df
293,Gianluca Lapadula,pe PER,FW,Lecce,29,1990,25,20,1784,19.8,11,0,11,9,2,2,8,1,0.55,0.00,0.55,0.45,0.45,Matches,2ead2809
294,Danilo Larangeira,br BRA,DF,Bologna,35,1984,30,30,2638,29.3,2,0,2,2,0,0,11,1,0.07,0.00,0.07,0.07,0.07,Matches,fed5f993
295,Kevin Lasagna,it ITA,FW,Udinese,26,1992,36,28,2569,28.5,10,1,11,10,0,0,1,0,0.35,0.04,0.39,0.35,0.39,Matches,09538fdb
296,Vincent Laurini,fr FRA,DF,Parma,30,1989,15,10,884,9.8,0,2,2,0,0,0,4,0,0.00,0.20,0.20,0.00,0.20,Matches,3535098b
297,Diego Laxalt,uy URU,MFDF,Torino,26,1993,16,4,596,6.6,0,1,1,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,Matches,f26e3c59
298,Diego Laxalt,uy URU,DF,Milan,26,1993,4,1,172,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f26e3c59
299,Valentino Lazaro,at AUT,MF,Inter,23,1996,6,3,323,3.6,0,1,1,0,0,0,2,0,0.00,0.28,0.28,0.00,0.28,Matches,016ff750
300,Darko Lazović,rs SRB,MF,Hellas Verona,28,1990,38,37,3239,36.0,3,7,10,3,0,0,4,0,0.08,0.19,0.28,0.08,0.28,Matches,5128bde4
301,Manuel Lazzari,it ITA,MF,Lazio,25,1993,32,29,2548,28.3,0,3,3,0,0,0,6,0,0.00,0.11,0.11,0.00,0.11,Matches,02caf6e0
302,Rafael Leão,pt POR,FWMF,Milan,20,1999,31,12,1404,15.6,6,1,7,6,0,0,0,0,0.38,0.06,0.45,0.38,0.45,Matches,20730eae
303,Lucas Leiva,br BRA,MF,Lazio,32,1987,25,23,1808,20.1,0,1,1,0,0,0,10,1,0.00,0.05,0.05,0.00,0.05,Matches,4c78b5ed
304,Lukas Lerager,dk DEN,MF,Genoa,26,1993,21,15,1387,15.4,1,1,2,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,Matches,1b82f8df
305,Mehdi Léris,dz ALG,MFFW,Sampdoria,21,1998,15,3,509,5.7,1,1,2,1,0,0,0,0,0.18,0.18,0.35,0.18,0.35,Matches,7d3cbc67
306,Karlo Letica,hr CRO,GK,SPAL,22,1997,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4a6914ff
307,Matthijs de Ligt,nl NED,DF,Juventus,19,1999,29,26,2450,27.2,4,0,4,4,0,0,5,0,0.15,0.00,0.15,0.15,0.15,Matches,d6e53a3a
308,Anderson Lima,br BRA,MF,Lazio,19,1999,6,0,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,59be3a74
309,Karol Linetty,pl POL,MF,Sampdoria,24,1995,28,22,2019,22.4,4,3,7,4,0,0,4,0,0.18,0.13,0.31,0.18,0.31,Matches,d023d70f
310,Pol Lirola,es ESP,MF,Fiorentina,21,1997,35,30,2648,29.4,0,2,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches,ff800ed8
311,Fernando Llorente,es ESP,FW,Napoli,34,1985,17,3,501,5.6,3,1,4,3,0,0,1,0,0.54,0.18,0.72,0.54,0.72,Matches,82dbf623
312,Stanislav Lobotka,sk SVK,MF,Napoli,24,1994,14,9,752,8.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e1cbb531
313,Manuel Locatelli,it ITA,MF,Sassuolo,21,1998,33,31,2586,28.7,0,5,5,0,0,0,9,0,0.00,0.17,0.17,0.00,0.17,Matches,a8a874f1
314,Pau López,es ESP,GK,Roma,24,1994,32,32,2880,32.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,20b9f052
315,Matteo Lovato,it ITA,DF,Hellas Verona,19,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5fa57166
316,Hirving Lozano,mx MEX,FWMF,Napoli,24,1995,26,10,1025,11.4,4,1,5,4,0,0,3,0,0.35,0.09,0.44,0.35,0.44,Matches,a69e4806
