--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
67,Thierry Correia,pt POR,MF,Venezia,27-169,1999,1,1,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c78b352d
68,Edoardo Corvi,it ITA,GK,Parma,25-155,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a89398db
69,Lassana Coulibaly,ml MLI,MF,Lecce,30-137,1996,1,1,90,1.0,0,1,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches,85a44ecc
70,Yan Couto,br BRA,DF,Como,24-083,2002,1,1,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1944818c
71,Ben Cremaschi,us USA,MF,Parma,21-176,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,03a446a2
72,Bryan Cristante,it ITA,MF,Roma,31-175,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,16657b95
73,Patrick Cutrone,it ITA,FW,Monza,28-234,1998,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a4fe8cda
74,Lucas Da Cunha,fr FRA,MF,Como,25-077,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,007faf7a
75,Matteo Dagasso,it ITA,MF,Venezia,22-146,2004,1,0,21,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a13d62a9
76,Kevin De Bruyne,be BEL,FWMF,Napoli,35-058,1991,1,0,24,0.3,1,1,2,1,0,0,0,0,3.75,3.75,7.50,3.75,7.50,Matches,e46012d4
77,Charles De Ketelaere,be BEL,FWMF,Atalanta,25-168,2001,1,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ef7c612
78,Koni De Winter,be BEL,DF,Milan,24-074,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f4797849
79,Alessandro Deiola,it ITA,DF,Cagliari,31-024,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7f267d66
80,Fisayo Dele-Bashiru,ng NGA,MF,Lazio,25-200,2001,1,1,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,121a4fb8
81,Filippo Delli Carri,it ITA,DF,Monza,27-114,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d2e8fd9b
82,Enrico Delprato,it ITA,DF,Parma,26-288,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4c6f9258
83,Giovanni Di Lorenzo,it ITA,DF,Napoli,33-021,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,230a2fac
84,Boulaye Dia,sn SEN,FW,Lazio,29-282,1996,1,1,78,0.9,0,1,1,0,0,0,1,0,0.00,1.15,1.15,0.00,1.15,Matches,244bc2c8
85,Ousmane Diallo,es ESP,FW,Parma,19-074,2007,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,959a585a
86,Assane Diao,sn SEN,MF,Como,20-352,2005,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8ae7d0ec
87,Federico Dimarco,it ITA,MF,Inter,28-288,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,970b8574
88,Andy Diouf,fr FRA,MF,Inter,23-100,2003,1,1,74,0.8,0,2,2,0,0,0,0,0,0.00,2.43,2.43,0.00,2.43,Matches,9b5237b1
89,Dodô,br BRA,DF,Fiorentina,27-281,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b5f7d10b
90,Danilho Doekhi,nl NED,DF,Lazio,28-056,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f67c9d29
91,Josh Doig,sct SCO,DF,Sassuolo,24-099,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f69d881
92,Benjamín Domínguez,ar ARG,MF,Sassuolo,22-340,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a83b47fa
93,Anastasios Douvikas,gr GRE,FW,Como,27-023,1999,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,853ca71c
94,Artem Dovbyk,ua UKR,FW,Bologna,29-065,1997,1,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5b847bb0
95,Radu Drăgușin,ro ROU,DF,Fiorentina,24-203,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,620922ed
96,Paulo Dybala,ar ARG,MF,Roma,32-283,1993,1,1,78,0.9,0,3,3,0,0,0,0,0,0.00,3.46,3.46,0.00,3.46,Matches,e0921a4f
97,Enzo Ebosse,cm CMR,DF,Udinese,27-167,1999,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ba7b4fa
98,Jurgen Ekkelenkamp,nl NED,MF,Udinese,26-142,2000,1,1,84,0.9,0,1,1,0,0,0,0,0,0.00,1.07,1.07,0.00,1.07,Matches,73d6a176
99,Mikael Ellertsson,is ISL,MF,Genoa,24-167,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c55967eb
100,Elif Elmas,mk MKD,FWMF,Atalanta,26-335,1999,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cf007308
101,Nesta Elphege,fr FRA,FW,Parma,25-228,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a3f86b82
102,Francesco Esposito,it ITA,FW,Inter,21-058,2005,1,1,90,1.0,1,1,2,1,0,0,0,0,1.00,1.00,2.00,1.00,2.00,Matches,041e5f1f
103,Pervis Estupiñán,ec ECU,MF,Milan,28-216,1998,1,1,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d38fdf53
104,Nicolò Fagioli,it ITA,MF,Fiorentina,25-194,2001,1,1,61,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,366be751
105,Wladimiro Falcone,it ITA,GK,Lecce,31-135,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9f5a610b
106,Jacopo Fazzini,it ITA,MF,Cagliari,23-162,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,06b08c45
107,Mattia Felici,it ITA,MF,Cagliari,25-130,2001,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,38aa2612
108,Lewis Ferguson,sct SCO,MF,Bologna,27-001,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ee64a822
109,Seydou Fini,it ITA,MF,Frosinone,20-084,2006,1,1,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6411925d
110,Kian Fitz-Jim,nl NED,MF,Torino,23-051,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d4c6ba22
111,Romano Floriani,it ITA,MF,Lazio,23-210,2003,1,0,72,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e19e0ca1
112,Manga Foe Ondoa,fr FRA,MF,Monza,20-256,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e66703bc
113,Omari Forson,eng ENG,MF,Monza,22-036,2004,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1b9728b0
114,Niccolò Fortini,it ITA,MF,Torino,20-193,2006,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ed336580
115,Bartol Franjić,hr CRO,DF,Venezia,26-223,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,697dc00a
116,Davide Frattesi,it ITA,MF,Lazio,26-307,1999,1,0,37,0.4,1,0,1,1,0,0,0,0,2.43,0.00,2.43,2.43,2.43,Matches,2a7d27c1
117,Morten Frendrup,dk DEN,MF,Genoa,25-140,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f4d60499
118,Matteo Gabbia,it ITA,DF,Milan,26-308,1999,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c235e803
